dataset,filename,ita,category
fuseg,0011.png,-26.57,Brown
fuseg,0012.png,-81.29,Dark
fuseg,0013.png,-87.6,Dark
fuseg,0014.png,-45.61,Dark
fuseg,0015.png,-84.17,Dark
fuseg,0016.png,-87.35,Dark
fuseg,0017.png,-74.73,Dark
fuseg,0018.png,-65.37,Dark
fuseg,0019.png,-83.64,Dark
fuseg,0020.png,-84.85,Dark
fuseg,0021.png,-61.21,Dark
fuseg,0022.png,-67.89,Dark
fuseg,0023.png,-83.69,Dark
fuseg,0024.png,-76.46,Dark
fuseg,0026.png,-57.14,Dark
fuseg,0027.png,-67.78,Dark
fuseg,0028.png,-72.25,Dark
fuseg,0029.png,-69.72,Dark
fuseg,0031.png,-89.5,Dark
fuseg,0032.png,-83.85,Dark
fuseg,0034.png,-86.57,Dark
fuseg,0035.png,30.92,Intermediate
fuseg,0036.png,-80.85,Dark
fuseg,0037.png,-77.17,Dark
fuseg,0038.png,-71.32,Dark
fuseg,0039.png,-78.28,Dark
fuseg,0040.png,71.68,Very Light
fuseg,0041.png,-13.18,Brown
fuseg,0042.png,-50.9,Dark
fuseg,0043.png,85.52,Very Light
fuseg,0044.png,5.04,Brown
fuseg,0045.png,-82.86,Dark
fuseg,0048.png,-83.4,Dark
fuseg,0049.png,-49.8,Dark
fuseg,0050.png,-55.06,Dark
fuseg,0051.png,41.82,Light
fuseg,0052.png,-59.8,Dark
fuseg,0053.png,-82.71,Dark
fuseg,0054.png,-80.43,Dark
fuseg,0055.png,-64.96,Dark
fuseg,0056.png,-81.44,Dark
fuseg,0059.png,-85.55,Dark
fuseg,0060.png,-62.75,Dark
fuseg,0061.png,-87.88,Dark
fuseg,0063.png,-81.12,Dark
fuseg,0064.png,-15.92,Brown
fuseg,0065.png,-76.05,Dark
fuseg,0066.png,-53.88,Dark
fuseg,0067.png,51.58,Light
fuseg,0069.png,-68.3,Dark
fuseg,0070.png,-79.28,Dark
fuseg,0071.png,-65.43,Dark
fuseg,0072.png,-90.0,Dark
