filename,ita,category
Female_normal-001.jpg,72.62,Very Light
Female_normal-002.jpg,72.79,Very Light
Female_normal-003.jpg,75.64,Very Light
Female_normal-004.jpg,20.42,Tan
Female_normal-005.jpg,56.47,Very Light
Female_normal-006.jpg,32.43,Intermediate
Female_normal-007.jpg,65.34,Very Light
Female_normal-008.jpg,67.09,Very Light
Female_normal-009.jpg,12.01,Tan
Female_normal-010.jpg,17.94,Tan
Female_normal-011.jpg,47.42,Light
Female_normal-012.jpg,18.28,Tan
Female_normal-013.jpg,-22.48,Brown
Female_normal-014.jpg,32.05,Intermediate
Female_normal-015.jpg,26.85,Tan
Female_normal-016.jpg,30.76,Intermediate
Female_normal-017.jpg,5.14,Brown
Female_normal-018.jpg,71.41,Very Light
Female_normal-019.jpg,54.46,Light
Female_normal-020.jpg,64.81,Very Light
Female_normal-021.jpg,54.07,Light
Female_normal-022.jpg,43.43,Light
Female_normal-023.jpg,35.95,Intermediate
Female_normal-024.jpg,60.18,Very Light
Female_normal-025.jpg,48.67,Light
Female_normal-026.jpg,15.14,Tan
Female_normal-027.jpg,49.39,Light
Female_normal-028.jpg,-23.81,Brown
Female_normal-029.jpg,72.06,Very Light
Female_normal-030.jpg,36.35,Intermediate
Female_normal-031.jpg,70.33,Very Light
Female_normal-032.jpg,29.52,Intermediate
Female_normal-033.jpg,59.63,Very Light
Female_normal-034.jpg,71.75,Very Light
Female_normal-035.jpg,38.34,Intermediate
Female_normal-036.jpg,77.19,Very Light
Female_normal-037.jpg,75.44,Very Light
Female_normal-038.jpg,72.41,Very Light
Female_normal-039.jpg,82.73,Very Light
Female_normal-040.jpg,82.79,Very Light
Female_normal-041.jpg,72.63,Very Light
Female_normal-042.jpg,80.78,Very Light
Female_normal-043.jpg,80.3,Very Light
Female_normal-044.jpg,75.4,Very Light
Female_normal-045.jpg,39.95,Intermediate
Female_normal-046.jpg,79.14,Very Light
Female_normal-047.jpg,80.12,Very Light
Female_normal-048.jpg,36.86,Intermediate
Female_normal-049.jpg,79.77,Very Light
Female_normal-050.jpg,67.15,Very Light
Female_normal-051.jpg,76.69,Very Light
Female_normal-052.jpg,73.47,Very Light
Female_normal-053.jpg,76.4,Very Light
Female_normal-054.jpg,42.04,Light
Female_normal-055.jpg,52.84,Light
Female_normal-056.jpg,76.08,Very Light
Female_normal-057.jpg,71.74,Very Light
Female_normal-058.jpg,80.32,Very Light
Female_normal-059.jpg,84.76,Very Light
Female_normal-060.jpg,73.12,Very Light
Female_normal-061.jpg,78.61,Very Light
Female_normal-062.jpg,-81.25,Dark
Female_normal-063.jpg,-46.12,Dark
Female_normal-064.jpg,50.4,Light
Female_normal-065.jpg,73.24,Very Light
Female_normal-066.jpg,-6.19,Brown
Female_normal-067.jpg,81.3,Very Light
Female_normal-068.jpg,-73.71,Dark
Female_normal-069.jpg,82.3,Very Light
Female_normal-070.jpg,71.07,Very Light
Female_normal-071.jpg,66.8,Very Light
Female_normal-072.jpg,83.5,Very Light
Female_normal-073.jpg,79.85,Very Light
Female_normal-074.jpg,37.68,Intermediate
Female_normal-075.jpg,84.09,Very Light
Female_normal-076.jpg,70.76,Very Light
Female_normal-077.jpg,74.24,Very Light
Female_normal-078.jpg,48.05,Light
Female_normal-079.jpg,49.7,Light
Female_normal-080.jpg,72.63,Very Light
Female_normal-081.jpg,10.4,Tan
Female_normal-082.jpg,77.6,Very Light
Female_normal-083.jpg,43.15,Light
Female_normal-084.jpg,86.63,Very Light
Female_normal-085.jpg,-6.77,Brown
Female_normal-086.jpg,79.2,Very Light
Female_normal-087.jpg,76.11,Very Light
Female_normal-088.jpg,-30.6,Dark
Female_normal-089.jpg,69.6,Very Light
Female_normal-090.jpg,82.84,Very Light
Female_normal-091.jpg,83.08,Very Light
Female_normal-092.jpg,80.43,Very Light
Female_normal-093.jpg,82.72,Very Light
Female_normal-094.jpg,79.68,Very Light
Female_normal-095.jpg,65.84,Very Light
Female_normal-096.jpg,43.15,Light
Female_normal-097.jpg,79.81,Very Light
Female_normal-098.jpg,80.58,Very Light
Female_normal-099.jpg,87.17,Very Light
Female_normal-100.jpg,38.94,Intermediate
Female_normal-101.jpg,64.3,Very Light
Female_normal-102.jpg,84.29,Very Light
Female_normal-103.jpg,53.47,Light
Female_normal-104.jpg,22.21,Tan
Female_normal-105.jpg,83.24,Very Light
Female_normal-106.jpg,73.21,Very Light
Female_normal-107.jpg,78.47,Very Light
Female_normal-108.jpg,79.72,Very Light
Female_normal-109.jpg,74.68,Very Light
Female_normal-110.jpg,64.19,Very Light
Female_normal-111.jpg,69.65,Very Light
Female_normal-112.jpg,79.24,Very Light
Female_normal-113.jpg,79.93,Very Light
Female_normal-114.jpg,83.46,Very Light
Female_normal-115.jpg,47.69,Light
Female_normal-116.jpg,78.24,Very Light
Female_normal-117.jpg,68.41,Very Light
Female_normal-118.jpg,83.49,Very Light
Female_normal-119.jpg,68.28,Very Light
Female_normal-120.jpg,78.15,Very Light
Female_normal-121.jpg,78.13,Very Light
Female_normal-122.jpg,80.82,Very Light
Female_normal-123.jpg,71.13,Very Light
Female_normal-124.jpg,79.81,Very Light
Female_normal-125.jpg,76.18,Very Light
Female_normal-126.jpg,80.43,Very Light
Female_normal-127.jpg,79.27,Very Light
Female_normal-128.jpg,71.59,Very Light
Female_normal-129.jpg,80.57,Very Light
Female_normal-130.jpg,82.32,Very Light
Female_normal-131.jpg,73.99,Very Light
Female_normal-132.jpg,-12.1,Brown
Female_normal-133.jpg,81.34,Very Light
Female_normal-134.jpg,64.31,Very Light
Female_normal-135.jpg,81.51,Very Light
Female_normal-136.jpg,74.86,Very Light
Female_normal-137.jpg,72.53,Very Light
Female_normal-138.jpg,83.46,Very Light
Female_normal-139.jpg,82.2,Very Light
Female_normal-140.jpg,79.09,Very Light
Female_normal-141.jpg,39.16,Intermediate
Female_normal-142.jpg,77.88,Very Light
Female_normal-143.jpg,76.62,Very Light
Female_normal-144.jpg,81.02,Very Light
Female_normal-145.jpg,71.65,Very Light
Female_normal-146.jpg,69.3,Very Light
Female_normal-147.jpg,79.84,Very Light
Female_normal-148.jpg,78.61,Very Light
Female_normal-149.jpg,78.65,Very Light
Female_normal-150.jpg,79.71,Very Light
Female_normal-151.jpg,82.19,Very Light
Female_normal-152.jpg,77.25,Very Light
Female_normal-153.jpg,80.87,Very Light
Female_normal-154.jpg,79.18,Very Light
Female_normal-155.jpg,61.16,Very Light
Female_normal-156.jpg,80.6,Very Light
Female_normal-157.jpg,50.3,Light
Female_normal-158.jpg,77.81,Very Light
Female_normal-159.jpg,80.63,Very Light
Female_normal-160.jpg,81.21,Very Light
Female_normal-161.jpg,74.41,Very Light
Female_normal-162.jpg,73.01,Very Light
Female_normal-163.jpg,85.82,Very Light
Female_normal-164.jpg,82.43,Very Light
Female_normal-165.jpg,71.76,Very Light
Female_normal-166.jpg,82.89,Very Light
Female_normal-167.jpg,84.68,Very Light
Female_normal-168.jpg,75.5,Very Light
Female_normal-169.jpg,77.78,Very Light
Female_normal-170.jpg,78.71,Very Light
Female_normal-171.jpg,74.59,Very Light
Female_normal-172.jpg,77.82,Very Light
Female_normal-173.jpg,78.75,Very Light
Female_normal-174.jpg,77.31,Very Light
Female_normal-175.jpg,78.21,Very Light
Female_normal-176.jpg,67.22,Very Light
Female_normal-177.jpg,80.96,Very Light
Female_normal-178.jpg,73.83,Very Light
Female_normal-179.jpg,63.33,Very Light
Female_normal-180.jpg,72.22,Very Light
Female_normal-181.jpg,71.31,Very Light
Female_normal-182.jpg,77.99,Very Light
Female_normal-183.jpg,75.2,Very Light
Female_normal-184.jpg,71.5,Very Light
Female_normal-185.jpg,70.08,Very Light
Female_normal-186.jpg,68.24,Very Light
Female_normal-187.jpg,78.99,Very Light
Female_normal-188.jpg,79.0,Very Light
Female_normal-189.jpg,82.09,Very Light
Female_normal-190.jpg,77.72,Very Light
Female_normal-191.jpg,78.5,Very Light
Female_normal-192.jpg,78.62,Very Light
Female_normal-193.jpg,76.92,Very Light
Female_normal-194.jpg,79.3,Very Light
Female_normal-195.jpg,78.83,Very Light
Female_normal-196.jpg,80.19,Very Light
Female_normal-197.jpg,21.68,Tan
Female_normal-198.jpg,74.23,Very Light
Female_normal-199.jpg,80.04,Very Light
Female_normal-200.jpg,72.29,Very Light
Female_normal-201.jpg,66.62,Very Light
Female_normal-202.jpg,79.48,Very Light
Female_normal-203.jpg,80.49,Very Light
Female_normal-204.jpg,78.51,Very Light
Female_normal-205.jpg,82.77,Very Light
Female_normal-206.jpg,57.84,Very Light
Female_normal-207.jpg,76.96,Very Light
Female_normal-208.jpg,79.88,Very Light
Female_normal-209.jpg,71.82,Very Light
Female_normal-210.jpg,72.73,Very Light
Female_normal-211.jpg,79.49,Very Light
Female_normal-212.jpg,78.39,Very Light
Female_normal-213.jpg,79.37,Very Light
Female_normal-214.jpg,17.32,Tan
